bank,no,komponen_otomatis,kalimat_tanya_yang_dinilai,komponen_koreksi_manual
kedkom-2021,23,Recall,di sebut apkah fungsi dokter ini?,
kedkom-2021,24,Recall,bagaimanakah metode pembayaran bpjs ke klinik yarsi ?,
kedkom-2021,25,Recall,"pada evaluasi program dengan pendekatan system, dimanakah akar penyebab masalah di atas?",
kedkom-2021,26,Recall,"berdasarkan metode lingkaran pemecahan masalah, langkah apa yang seharusnya di lakukan oleh dokter puskesmas?",
kedkom-2021,27,Recall,apa metode yang digunakan oleh dokter tersebut?,
kedkom-2021,28,Recall,apa metode yang digunakan oleh dokter tersebut?,
kedkom-2021,29,Recall,mana pernyataan yang paling tepat di bawah ini?,
kedkom-2021,30,Recall,faktor resiko penyakit menular yang dapat di hindari...,
kedkom-2021,31,Recall,"fishbone dilakukan untuk mencari akar penyebab masalah, hal ini didpaatkan dengan...",
kedkom-2021,32,Pharmacology,berikut yang tidak termasuk imunisasi dasar pada bayi adalah…,
kedkom-2021,33,Recall,mana dibawah ini yang merupakan pernyataan yang benar untuk kesehatan reproduksi?,
kedkom-2021,34,Recall,berapakah maternal mortality rate (mmr) per seribu kelahiran hidup penduduk desa a ?,
kedkom-2021,35,Recall,termasuk factor apa yang dilakukan kader jumantik dalam hal perubahan perilaku masyarakat?,
kedkom-2021,37,Recall,termasuk kategori respon capacity apa bantuan dari pihak provinsi banda aceh dan kabupaten sekitarnya pada kasus di atas?,
kedkom-2021,38,Recall,"untuk mewujudkan kegiatan, program apakahyang akan di tgaskan kepala puskesmas?",
kedkom-2021,39,Recall,"kesehatan maysrakat dapat tercapau dnegan partisipasi berbagai pihak, hal yang ditekankan dalam kesehtan masyarakat adalah…",
kedkom-2021,40,Pharmacology,strategi promkes apa yang tepat untuk kegiatan germas di atas?,
kedkom-2021,41,Recall,konsep islam mengkarantina penderita penyakit menuar sebagaimana hadist tentang tha un (wabah) dianjurkan:,
kedkom-2021,42,Diagnostics,langkah-langkah diagnosis komunitas adalah…,
kedkom-2021,43,Recall,apa masalah kesehatan yang terjadi berdasarkandata tersbeut?,
kedkom-2021,44,Recall,maslaah medis dapat diangkat menjadi area maslah pada masyrakat binaan jika maslaah tersebut…,
kedkom-2021,45,Recall,"enyam pendidikan tinggi, banyak dari mereka yang hanya bis abaca tulis atau hanya berpendidikan sd, untuk mengetahui sebab dari hal ini dapat diketahui melalui?",
kedkom-2021,46,Recall,termasuk kategori respon capacity apa yang di lakukan masyarakat pada kasus di atas?,
kedkom-2021,47,Recall,hal tersebut adalah merupakan penerapan maqasidh syariah dalam bidang:,
kedkom-2021,48,Recall,mana yang sesuai untuk pola pemberian asi dan susu formula tersebut di atas?,
kedkom-2021,49,Recall,"melaksanakan perintahnya dan menjauhi larangannya untuk mencapai kehidupan bahagia dunia dan akhirat,sesuai dengan tuntunan dan contoh rasullah,adalah definisi:",
kedkom-2021,50,Recall,"an ibadahnya tsb,sebelumnya ny s sudah memeriksa kehamilannya dan dalam kondisi sehat.kondisi wanita dengan kehamilan 12 minggu apabila berangkat umroh adalah :",
kedkom-2021,51,Recall,penilaian status gizi ibu hamil dimassa kehamilan menjadi hal penting.metode penilaian yang digunakan untuk memantau status gizi ibu hamil adalah,
kedkom-2021,52,Recall,penyakit tidak menular tidak dapat dicegah dengan cara,
kedkom-2021,53,Pharmacology,arga akan menjadi pmo (pengawas menelan obat) bagi penderita tbc selama massa pengobatan.termasuk kelompok system budaya apa anggota keluarga pada kasus diatas?,
kedkom-2021,54,Recall,"rcayaan,dorongan tokoh agama dan tokoh masyarakat,serta peralatan yang menunjang untuk perilaku pencegahan.termasuk factor apa aspek persepsi pada kasus diatas?",
kedkom-2021,55,Physiology,i perlu diwaspadai oleh semua pihak tak terkecuali masyarakat harus turut serta berperan aktif.apa upaya yang dapat dilakukan oleh masyarakat pada kasus diatas?,
kedkom-2021,56,Physiology,engalami kesulitan untuk mendapatkan akses air bersih.apa upaya bidang kesehatan yang dapat dilakukan dalam meminimalisir dampak perubahan iklim pada kasus tsb?,
kedkom-2021,57,Recall,plant survey dilakukan untuk?,
kedkom-2021,58,Recall,"mas didampingi oleh petugas kelurahan, ketua rw dan ketua rt serta tokoh masyarakat.termasuk komponen komunikasi kesehatan apa staf puskesmas pada kasus diatas?",
kedkom-2021,59,Recall,"ehatan puskesmas didampingi oleh petugas kelurahan,ketua rw dan ketua rt serta tokoh masyarakat.siapakah yang termasuk komponen komunikan pada kasus tsb diatas?",
kedkom-2021,60,Recall,uk mendukung tugas kader jumantik ketika melakukan pemantauan jentik kerumah-rumah warga.strategi apa yang dilakukan oleh puskesmas dan kecamatan wilayah x tsb?,
kedkom-2021,61,Recall,ukung tugas kader jumantik ketika melakukan pemantauan jentik kerumah-rumah warga.termasuk kelompok sasaran promkes berapa pihak perusahaan tsb pd kasus diatas?,
kedkom-2021,62,Recall,"a yang menderita hipertensi,diabetes,gagalginjal,pjk,tb,anemia dan tumor.dari kegiatan yang dilakukan oleh puskesmas tidak dapat untuk mengurangi factor resiko?",
kedkom-2021,63,Recall,"temuan tsb terdapat lansia yang menderita hipertensi,diabetes,gagalginjal,pjk,tb,anemia dan tumor.tindakan yang seharusnya dilakukan untuk pasien diatas adalah:",
kedkom-2021,64,Recall,"putus asa,kufur,thama,takabur,ujub,zalim,riya sumah,hasad,dan kikir termasuk contoh akhlak?",
kedkom-2021,65,Recall,kan setiap bulan hasil evaluasi menunjukan kurangnya kegiatan upaya kesehatan perorangan (ukp).apa kegiatan yang harus dilakukan untuk meningkatkan cakupan ukp?,
kedkom-2021,66,Recall,"rekomendasi setelah dilaksanakan plant survey ditujukan untuk perusahaan dan pekerja,salah satu rekomendasi bagi perusahaan dibawah ini adalah?",
kedkom-2021,67,Recall,"salah satu upaya menciptakan kesehatan jiwa adalah melalui tazkiyatun nafs,berarti:",
kedkom-2021,68,Pharmacology,a.pengurus yayasan meminta dokter klinik boarding school menyelesaikan permasalahan tsb.apa tindakan yang tepat dilakukan oleh dokter klinik boarding scool tsb?,
kedkom-2021,69,Recall, tingkat pelayanan dan pelacakan yang dilakukan dengan cara otopsi verbal sangat dibutuhkan.mana dibawah ini yang merupakan implementasi dari pernyataan diatas?,
kedkom-2021,70,Recall,"senantiasa melihat orang lain dengan pandangan lebih bak dari pada diri sendiri denga kekurangan yang dimiliki, disebut",
kedkom-2021,71,Pharmacology,"rahnya, data yang belum dapat dikumpulkan adalah status gizi ibu hamil di setiap kelurahan.apa indicator yang blm terpenuhi untuk melakukan manajemen surveilan?",
kedkom-2021,72,Recall,"n adalah pusing.riwayat kehamilan anak pertama melahirkan di bidan, ibu masih percaya pd mitos tentang ibu hamil tida boleh mengkomsumsi ikan.ibu tsb mengalami?",
kedkom-2021,73,Pharmacology,inta saran anda untuk perjalanan ibadah ini.nasihat terpenting yang anda berikan kepada pasien dilihat dari usianya agar tetap dapat beribadah dengan baik yaitu,
kedkom-2021,74,Pharmacology,saran yang anda berikan kepada psien selama diperjalanan menggunakan pesawat yang cukup lama adalah..,
kedkom-2021,75,Pharmacology,saran yang anda berikan untuk nenek tersesbut adalah...,
kedkom-2021,76,Recall,termasuk kedalam jenis peserta apa pegawai diatas?,
kedkom-2021,77,Pharmacology,apa metode pembayaran yang berlaku di klinik tersebut?,
kedkom-2021,78,Recall,apa kegiatan pemberdayaan lansia yang dilakukan oleh pemerintah daerah dan bapak joko tersebut?,
kedkom-2021,79,Recall,apa faktor individu yang mempengaruhi kesehatan bapak?,
kedkom-2021,80,Recall,apa faktor lingkungan yang dapat mempengaruhi kesehatan wanita tersebut?,
kedkom-2021,81,Recall,apa tujuan p[osisi demikian?,
kedkom-2021,82,Recall,mana dari pernyataan bibawah ini yang bukan manfaat imd untuk ibu?,
kedkom-2021,83,Recall,termasuk dalam kegiatan apa itu?,
kedkom-2021,84,Recall,tahapan dalam kegiatan plant survey adalah,
kedkom-2021,85,Recall,kejadian yang seharusnya tidak terjadi adalah,
kedkom-2021,86,Recall,apa yang melatarbelakangi kontroversi tersebut?,
kedkom-2021,87,Recall,terminologi birrul walidain:,
kedkom-2021,88,Diagnostics,tujuan pelaksaaan diagnosis komunitas adalah?,
kedkom-2021,89,Recall,ulama yang memperbolehkan vaksinasi meskioun bahanya dibuat dari bahan yang haram dengan alasa:,
kedkom-2021,90,Recall,"if pada bayi di indonesia diatur ttg 10 langkah yang dapat diterapkan, mana dibawah ini yang tidak termasuk dalam 10 langkah untuk keberhasilan tersebut diatas?",
kedkom-2021,91,Recall,mana dibawah ini yang bukan 4 terlalu?,
kedkom-2021,92,Recall,"untuk menentukan instrumen pengumpulan data yang akan dipakau, apa yang perlu dilakukan?",
kedkom-2021,93,Recall,termasuk kategori apa upaya tersebut?,
kedkom-2021,94,Recall,mana upaya bidang kesehatan tersebut diatas yang dapat dilakukan masyarakat?,
kedkom-2021,95,Recall,strategi promkes apa yang tepat untuk mencapai tujuan perilaku sehat dalam rangka pencegahan wabah penyakit tersebut pada keluarga tersebut?,
kedkom-2021,96,Recall,usaha untuk mempertahan kan rutinitas dalam suatu pekerjaan baik ( amal shalih) disebut:,
kedkom-2021,97,Diagnostics,di dalam diagnosis komunitas langkah keberapakah yang termasuk di dalamnya membuat survey?,
kedkom-2021,98,Recall,warga yang menjadi sasaran kegiatan edukasi kader jumantik termasuk dalam sasaran kegiatan promkes:,
kedkom-2021,99,Recall,seorang pasien laki-laki berusia 45 tahun datang dengan keluhan nyeri ulu hati yang memburuk setelah makan...,
kedkom-2021,100,Recall,apa pilar utama pendekatan ilmu kesehatan masyarakat yang berfokus pada upaya perlindungan kesehatan kelompok rentan tersebut?,
kedkom-2022,1,Pharmacology,"berdasarkan kasus tersebut, apa tujuan paling utama dari konseling kesehatan lingkungan yang dilakukan petugas?",
kedkom-2022,2,Recall,berapakah jumlah dana kapitasi yang diterima klinik tersebut dalam satu bulan?,
kedkom-2022,3,Recall,surveilans ini termasuk jenis apa?,
kedkom-2022,4,Recall,hal ini termasuk dalam pilar:,
kedkom-2022,5,Diagnostics,uji statistik apa yang digunakan?,
kedkom-2022,6,Pharmacology,desain penelitian apa yang paling tepat?,
kedkom-2022,7,Recall,tujuan utama dari program ini adalah:,
kedkom-2022,8,Pharmacology,hal tersebut termasuk manajemen mutu pelayanan kesehatan...,
kedkom-2022,9,Recall,aspek perlindungan apa yang paling tepat dibutuhkan korban?,
kedkom-2022,10,Recall,"setelah hamil, bagaimana status gizinya?",
kedkom-2022,11,Recall,metode penelitian yang digunakan termasuk dalam jenis apa?,
kedkom-2022,12,Recall,apa kekurangan utama dalam pengelolaan dapur mbg?,
kedkom-2022,13,Pharmacology,apa yang sebaiknya dilakukan dokter?,
kedkom-2022,14,Pharmacology,tindakan paling tepat yang harus dilakukan adalah:,
kedkom-2022,15,Pharmacology,hal ini termasuk dalam prinsip manajemen apa?,
kedkom-2022,16,Recall,apa kepanjangan dari usg dalam metode penentuan prioritas masalah kesehatan?,
kedkom-2022,17,Recall,"menurut teori domino heinrich, domino apa yang harus dihilangkan?",
kedkom-2022,18,Recall,"berdasarkan hasil tersebut, status gizi anak menurut bb/u adalah...",
kedkom-2022,19,Recall,diagram yang digunakan untuk mengetahui atau menganalisis penyebab suatu masalah/akar masalah adalah?,
kedkom-2022,20,Pharmacology,apa risiko utama pada pasien ini?,
kedkom-2022,21,Recall,apa surveilans yang tepat dilakukan oleh dokter berdasarkan sasaran penyelenggaraan?,
kedkom-2022,22,Recall,mana pernyataan yang paling tepat di bawah ini?,
kedkom-2022,23,Pharmacology,apa intervensi yang dilakukan?,
kedkom-2022,24,Recall," dimana laki-laki dan perempuan berduaan di tempat yang sepi atau bahkan merasa sepi di keramaian, yang dapat mendatangkan godaan dan juga nafsu disebut dengan:",
kedkom-2022,25,Recall,peran dokter di saat ini adalah sebagai?,
kedkom-2022,26,Recall,"umpulkan seluruh staf puskesmas seperti dokter, bidan, apoteker, laboratorium, dan staf lainnya untuk menentukan masalah dalam wilayah kerja. metode yang tepat?",
kedkom-2022,27,Recall,apa kerentanan utama yang paling tepat?,
kedkom-2022,28,Recall,eksistensi insan islami sangat tergantung dari menjaga lima hal di atas yang oleh para ulama dirumuskan sebagai apa?,
kedkom-2022,29,Recall,apa metode pemberian asi yang dimaksud?,
kedkom-2022,30,Pharmacology,tahap tersebut merupakan tahapan apa?,
kedkom-2022,31,Recall,"jika dikaitkan dengan integrasi layanan primer (ilp), tindakan tersebut termasuk dalam klaster apa?",
kedkom-2022,32,Recall,apa upaya yang dilakukan untuk meningkatkan kualitas hidup anak?,
kedkom-2022,33,Recall,apa peran dokter dalam konteks kedokteran komunitas pada skenario tersebut?,
kedkom-2022,34,Recall,"sesuai standar anc indonesia, berapa kali lagi dia anc sampai hari kelahiran?",
kedkom-2022,35,Recall,uji statistik apa yang digunakan?,
kedkom-2022,36,Recall,poin b merupakan intervensi?,
kedkom-2022,37,Recall,"jika hanya boleh memilih satu prioritas intervensi yang paling logis dan berdampak langsung pada anemia/stunting kehamilan, maka intervensi yang tepat adalah:",
kedkom-2022,38,Recall,peran dokter tersebut adalah:,
kedkom-2022,39,Recall,apa desain penelitian yang paling cocok?,
kedkom-2022,40,Pharmacology,kegiatan tersebut termasuk dalam tahap manajemen bencana apa?,
kedkom-2022,41,Recall,apa keuntungan utama dari penggunaan teknologi tersebut?,
kedkom-2022,42,Recall,apa kriteria penilaian utama alternatif tersebut?,
kedkom-2022,43,Recall,bagaimana hasil yang dapat dilaporkan kader kepada penanggung jawabnya?,
kedkom-2022,44,Recall,kebijakan ini mencerminkan pilar pembiayaan kesehatan apa?,
kedkom-2022,45,Pharmacology,pendekatan manajemen yang sesuai dengan kasus tersebut?,
kedkom-2022,46,Pharmacology,masalah ini terjadi pada proses manajemen yang mana?,
kedkom-2022,47,Recall,apa tindakan intervensi yang paling tepat agar terhindar dari risiko masalah kesehatan reproduksi?,
kedkom-2022,48,Recall,indeks ini terutama menilai:,
kedkom-2022,49,Recall,apa bentuk intervensi yang paling tepat?,
kedkom-2022,50,Pharmacology,"sebagai dokter, tindakan awal medikolegal/klinis yang harus dilakukan dengan persetujuan pasien adalah:",
kedkom-2022,52,Recall,berapa lama lagi bayi tersebut harus mendapatkan asi eksklusif?,
kedkom-2022,52,Recall,berapa lama lagi bayi tersebut harus mendapatkan asi eksklusif?,
kedkom-2022,53,Recall,intervensi kesehatan lingkungan yang paling tepat adalah:,
kedkom-2022,54,Recall,konsep mana yang menggambarkan fenomena ini?,
kedkom-2022,55,Pharmacology,metode kontrasepsi alamiah yang dapat disarankan adalah:,
kedkom-2022,56,Recall,pesan utama yang terdapat dalam hadits tersebut adalah:,
kedkom-2022,57,Recall,fenomena ini menggambarkan:,
kedkom-2022,58,Recall,intervensi kebijakan mana yang paling tepat diprioritaskan?,
kedkom-2022,59,Recall,apa tindakan kesehatan komunitas yang paling tepat?,
kedkom-2022,60,Recall,berapakah nilai sensitivitas alat pemeriksaan tersebut dalam bentuk pecahan?,
kedkom-2022,61,Recall,"berdasarkan konsep determinan masalah gizi, faktor paling dasar (underlying/basic cause) yang memengaruhi kondisi tersebut adalah:",
kedkom-2022,62,Recall,tahap pemecahan masalah apa yang sedang dilakukan?,
kedkom-2022,63,Recall,"berdasarkan 5 pilar stbm, intervensi ini merupakan pilar utama dengan daya ungkit terbesar, yaitu:",
kedkom-2022,64,Pharmacology,efek samping dominan dari progestin dosis tinggi pada kasus ini adalah:,
kedkom-2022,65,Pharmacology,tindakan paling tepat bagi dokter di pelayanan primer adalah:,
kedkom-2022,66,Pharmacology,tindakan ini termasuk dalam upaya kesehatan lingkungan:,
kedkom-2022,67,Diagnostics,skema pembayaran di fktp tersebut dinamakan:,
kedkom-2022,68,Diagnostics,anjuran dokter yang paling tepat adalah:,
kedkom-2022,69,Recall,klaster berapa dalam sistem ilp yang bertanggung jawab langsung menangani pasien ini?,
kedkom-2022,70,Pharmacology,siapa saja peserta yang tepat mengikuti konseling kelompok tersebut?,
kedkom-2022,71,Pharmacology,apa tujuan utama diadakannya konseling kelompok tersebut?,
kedkom-2022,72,Pharmacology,apa tindakan yang harus dilakukan kepala puskesmas selaku konselor agar hambatan tersebut dapat diatasi?,
kedkom-2022,73,Recall,strategi promosi kesehatan ini dinamakan:,
kedkom-2022,74,Recall,kondisi rumah sakit ini memenuhi kriteria standar:,
kedkom-2022,75,Pharmacology,"dalam tahapan manajemen evaluasi, dokter tersebut sedang melakukan tahap:",
kedkom-2022,76,Recall,sistem pembayaran ini disebut:,
kedkom-2022,77,Recall,upaya berbasis komunitas yang paling tepat agar lansia tersebut tetap aktif dan berdaya adalah:,
kedkom-2022,78,Recall,upaya keluarga yang paling penting untuk mencegah lansia merasa dibuang adalah:,
kedkom-2022,79,Recall,syarat mutlak agar mal efektif adalah:,
kedkom-2022,80,Recall,solusi strategis yang tepat adalah:,
kedkom-2022,81,Diagnostics,uji statistik komparatif yang tepat adalah:,
kedkom-2022,82,Recall,upaya ini menekankan intervensi pada aspek:,
kedkom-2022,83,Recall,prinsip utama penyelenggaraan jkn ini dinamakan:,
kedkom-2022,84,Recall,komitmen mana yang sedang ditunjukkan oleh supervisor tersebut?,
kedkom-2022,85,Recall,"if hukum syariat islam dan hukum pidana indonesia, bagaimana konsekuensi status bagi dokter yang nekat melakukan tindakan aborsi provokatus kriminalis tersebut?",
kedkom-2022,86,Pharmacology,prinsip etik dan teknis konseling apa yang paling mendasar untuk dijamin oleh dokter/konselor?,
kedkom-2022,87,Recall,intervensi ini tergolong dalam pencegahan:,
kedkom-2022,88,Recall,tujuan utama dari intervensi gizi berbasis bahan lokal ini adalah:,
kedkom-2022,89,Recall,masalah gizi ganda ini disebut:,
kedkom-2022,90,Recall,strategi pembiayaan kesehatan yang paling tepat untuk mengendalikan inflasi biaya tersebut adalah:,
muskulo-2019,1,Anatomy,apa nama bagian os. occipitalis yang bersendi dengan os atlas pada articulation atlantooccipitalis?,
muskulo-2019,2,Anatomy,apa nama jenis sendi pada art. atlantoaxialis mediana?,
muskulo-2019,3,Anatomy,apa nama otot yang berjalan melewati dua sendi ?,
muskulo-2019,4,Anatomy,apa nama otot yang membentuk anatomical snuffbox di tandai angka 2 pada gambar?,
muskulo-2019,5,Anatomy,apa nama tulang tempat crista galli berada?,
muskulo-2019,6,Anatomy,apa nama tulang yang bagian tulang/ tonjolannya ditunjuk panah merah pada gambar?,
muskulo-2019,7,Diagnostics,apa temuan laboratorium untuk mendiagnosis rheumatoid arthritis?,
muskulo-2019,8,Diagnostics,apa temuan laboratorium yang dapat dipakai untuk mendiagnosis gout?,
muskulo-2019,9,Anatomy,berikut ini mana otot yang tidak termasuk dalam kelompok otot dan tendon pada pasien yang mengalami cedera?,
muskulo-2019,10,Anatomy,denyut nadi pembuluh darah apa yang dapat diraba setelah pemasangan bidai di belakang bawah maleolaris medialis os tibia di klinik rs?,
muskulo-2019,11,Anatomy,denyut nadi yang dapat diraba dan didengar dengan stetoskop pada pemeriksaan untuk pengukuran tekanan darah di klinik rs adalah pembuluh darah?,
muskulo-2019,12,Physiology,faktor yang mempengaruhi kekuatan kontraksi otot adalah sebagai berikut:,
muskulo-2019,13,Recall,16) adalah dalil yang digunakan ulama fikih untuk menjelaskan tentang hukum:,
muskulo-2019,14,Recall,jaringan ikat mana yang dimaksud?,
muskulo-2019,15,Pharmacology,hal berikut yang sesuai dengan diklofenac adalah:,
muskulo-2019,16,Anatomy,mana pernyataan yang sesuai untuk hal tersebut?,
muskulo-2019,17,Pharmacology,kecenderungan naiknya tekanan darah pada pasien yang menggunakan obat ains jangka panjang adalah karena obat ains,
muskulo-2019,18,Histology,dimanakah letak sel yang berperan pada proses remodeling tersebut?,
muskulo-2019,19,Pharmacology,bagaimanakah mekanisme kerja obat tersebut?,
muskulo-2019,20,Histology,apa gambaran histologi jaringan di antara ruas tulang belakang tersebut?,
muskulo-2019,21,Diagnostics,mana pernyataan di bawah ini yang merupakan salah satu kriteria diagnosis osteomyelitis?,
muskulo-2019,22,Anatomy,"melihat dari segi permukaan sendi maka pada vertebra di bawah ini, mana vertebra yang paling luas gerakan rotasinya?",
muskulo-2019,23,Physiology,"pada myoneural junction, apa neurotransmit ter yang berperan?",
muskulo-2019,24,Recall,apa daerah/zona yang dimaksud?,
muskulo-2019,25,Anatomy,apa nama pembuluh darah yang diraba denyutnya tersebut?,
muskulo-2019,26,Physiology,pada pemeriksaan ro didapatkan penipisan tulang akibat berkurangnya massa tulang dengan gambaran berupa apa?,
muskulo-2019,27,Physiology,pada saat kontraksi perubahan yang terjadi pada satu miofilament terdiri dari:,
muskulo-2019,28,Recall,apa nama bidang tempat gerakan flexi tersebut?,
muskulo-2019,29,Diagnostics,apa kemungkinan diagnosis penderia tersebut?,
muskulo-2019,30,Diagnostics,apa diagnosis yang paling tepat pasien ini?,
muskulo-2019,31,Recall,pemeriksaan kultur pada osteomielitis diperlukan untuk apa?,
muskulo-2019,32,Pharmacology,"untuk menurunkan kadar asam urat darahnya, obat apa yang dapat diberikan?",
muskulo-2019,33,Pharmacology,obat apa yang paling tepat untuk pasien ini?,
muskulo-2019,34,Recall,proses depolarisasi terjadi pada:,
muskulo-2019,35,Histology,apa gambaran histologi yang sesuai untuk jaringan tersebut?,
muskulo-2019,36,Diagnostics,apa diagnosis vulnus yang paling mungkin untuk pasien ini?,
muskulo-2019,37,Diagnostics,apa kemungkinan diagnosis pasien ini?,
muskulo-2019,38,Diagnostics,apa diagnosis yang paling mungkin?,
muskulo-2019,39,Histology,bagaimana gambaran jaringan histologi dari organ tersebut?,
muskulo-2019,40,Diagnostics,apa kemungkinan diagnosis pasien?,
muskulo-2019,41,Anatomy,apa penyebab kelainan anatomi yang terjadi pada kondisi di atas?,
muskulo-2019,42,Physiology,gerakan apa yang terbatas akibat kondisi pasien tersebut?,
muskulo-2019,43,Diagnostics,apa diagnosis yang paling tepat?,
muskulo-2019,44,Anatomy,dimanakah letak origo otot-otot tersebut?,
muskulo-2019,45,Anatomy,apa nama salah satu otot yang cedera tersebut?,
muskulo-2019,46,Anatomy,apa nama tendon yang rupture pada pasien di atas?,
muskulo-2019,47,Anatomy,apa nama salah satu otot yang cedera pada pasien di atas?,
muskulo-2019,48,Diagnostics,dimanakah lesi yang terjadi pada pasien ini?,
muskulo-2019,49,Recall,disebut apa kelainan tersebut?,
muskulo-2019,50,Diagnostics,apa kemungkinan diagnosis kasus ini?,
muskulo-2019,51,Pharmacology,apa obat pilihan untuk pasien tersebut?,
muskulo-2019,52,Physiology,pasien menolak apa kaidah dasar bioetik yang disampaikan pasien?,
muskulo-2019,53,Pharmacology,apa terapi yang harus diberikan pada pasien dengan fraktur terbuka ini?,
muskulo-2019,54,Diagnostics,apa salah satu komplikasi yang ditakutkan pada dislokasi sendi?,
muskulo-2019,55,Pharmacology,apa patokan/tanda anggota tubuh yang mengalami dislokasi sudah tereposisi?,
muskulo-2019,56,Recall,mana tindakan dokter di bawah ini yang sesuai dengan kaidah bioetik beneficence?,
muskulo-2019,57,Recall,apa salah satu fungsi pemeriksaan radiologis pada fraktur?,
muskulo-2019,58,Pharmacology,"apabila ditemukan gejala compartement syndrome, apa tindakan yang diperlukan?",
muskulo-2019,59,Pharmacology,apa tindakan yang tepat untuk fraktur cruris terbuka?,
muskulo-2019,60,Pharmacology,apa tindakan yang tepat jika pasien mengalami fraktur clavicula tertutup?,
muskulo-2019,61,Anatomy,apa pembuluh darah yang sering pada kasus ini?,
muskulo-2019,62,Anatomy,saraf apa yang kemungkinan mengalami gangguan pada pasien ini?,
muskulo-2019,63,Pharmacology,kontraindikasi apa yang perlu diidentifikasi pada pasien ini?,
muskulo-2019,64,Anatomy,"jika dilakukan pemeriksaan rontgen, tulang apa yang paling mungkin ditemukan mengalami fraktur?",
muskulo-2019,65,Anatomy,struktur apa yang memelihara stabilitas dinamis dari sendi tersebut?,
muskulo-2019,66,Diagnostics,apa diagnosis pasien tersebut?,
muskulo-2019,67,Diagnostics,apa nama tumor tersebut?,
muskulo-2019,68,Diagnostics,gejala osteoartritis pada pasien tersebut adalah kecuali:,
muskulo-2019,69,Diagnostics,"jika dilakukan pemeriksaan patologi anatomi, apa gambaran mikroskopik sesuai diagnosis pada pasien tersebut?",
muskulo-2019,70,Anatomy,apa nama tulang tersebut?,
muskulo-2019,71,Anatomy,"berdasarkan anatomi, apa pembuluh darah yang paling mungkin cedera dalam kasus pasien tersebut?",
muskulo-2019,72,Anatomy,pada tulang apa kemungkinan fraktur pasien tersebut terjadi?,
muskulo-2019,73,Anatomy,otot apa yang kemungkinan mengalami paralyisis?,
muskulo-2019,74,Anatomy,sikap bagaimanakah yang dapat mengurangi rasa nyeri penderita?,
muskulo-2019,75,Anatomy,mana daerah yang sering mengalami fraktur pada pasien ini?,
muskulo-2019,76,Diagnostics,berupa apa kemungkinan patologi yang mendasari fraktur pada pasien tersebut?,
muskulo-2019,77,Diagnostics,posisi apa yang membentuk atap kelainan yang dimaksud?,
muskulo-2019,78,Pharmacology,apa pilihan terapi yang tepat untuk pasien tersebut?,
muskulo-2019,79,Pharmacology,apa yang sebaiknya diperiksa pada pasien tersebut?,
muskulo-2019,80,Pharmacology,apa obat yang mungkin menyebabkan kelainan pada pasien tersebut?,
muskulo-2019,81,Anatomy,"pada kondisi ini, saraf apa yang kemungkinan mengalami cedera?",
muskulo-2019,82,Pharmacology,apa terapi yang tepat diberikan untuk pasien tersebut?,
muskulo-2019,83,Anatomy,apa kemungkinan gejala yang dapat dialami oleh pasien?,
muskulo-2019,84,Pharmacology,bagaimana farmakokinetik obat yang tepat diberikan untuk pasien tersebut?,
muskulo-2019,85,Diagnostics,apa kesan pada foto genu dextra dan sinistra?,
muskulo-2019,86,Physiology,apa penyebab kondisi tersebut?,
muskulo-2019,87,Diagnostics,tendon apa yang kemungkinan mengalami disfungsi pada kondisi pasien tersebut?,
muskulo-2019,88,Physiology,apa kemungkinan penyebab nyeri pada pasien tersebut?,
muskulo-2019,89,Pharmacology,apa terapi simptomatik pada pasien tersebut?,
muskulo-2019,90,Pharmacology,saran non-farmakologis apa yang paling tepat diberikan pada pasien tersebut?,
muskulo-2019,91,Diagnostics,apa diagnosis yang tepat untuk pasien tersebut?,
muskulo-2019,92,Diagnostics,apa diagnosis pasien ini?,
muskulo-2019,93,Diagnostics,apa diagnosis pada pasien tersebut?,
muskulo-2019,94,Diagnostics,apa kemungkinan diagnosis pada penderita tersebut?,
muskulo-2019,95,Diagnostics,apa diagnosis penderia tersebut?,
muskulo-2019,96,Diagnostics,apa diagnosis penderia tersebut?,
muskulo-2019,97,Recall,"tekanan discus intervertebralis l3 yang paling rendah tekanannya, terdapat pada sikap apa?",
muskulo-2019,98,Recall,ungkapan fakhalaqna al-mudhgatah izoman fakasawna al- izoma lahman (فَخَلَقْنَا الْمُضْغَةَ عِظَٰمًا فَكَسَوْنَا الْعِظَٰمَ لَحْمًا) adalah menunjukkan bahwa:,
muskulo-2019,99,Anatomy,apa nama otot yang berkontraksi pada gerakan wajah tersebut?,
muskulo-2019,100,Anatomy,apa jenis jaringan/sendi pengikat antara batang os radius dan os ulna tersebut?,
muskulo-2020,1,Anatomy,fungsi apa yang akan berkurang saat digerakkan pada kasus di atas?,
muskulo-2020,2,Anatomy,apa pembuluh darah arteri yang dimaksud?,
muskulo-2020,3,Anatomy,apa nama otot yang berkontraksi pada saat orang mengedipkan mata seperti gambar?,
muskulo-2020,4,Recall,mana pernyataan di bawah ini yang sesuai untuk organ tendon?,
muskulo-2020,5,Physiology,apa penyebab dari gejala anemia dan neutropenia tersebut?,
muskulo-2020,6,Anatomy,apa nama bagian os. mandibularis yang bersendi dengan os. temporale pada articulatio temporomandibularis?,
